red, green, blue, target
226.322266,205.009138,182.694791,white
195.664952,53.327846,52.162209,red
72.033243,129.851622,162.907838,blue
50.312230,122.433003,157.078820,blue
108.352989,185.931613,76.669738,green
119.891333,195.245000,92.648667,green
107.892857,188.294643,78.620536,green
167.343898,39.168306,34.548998,red
227.825587,206.219640,181.659170,white
207.450666,217.157082,70.512712,yellow
212.375558,227.129051,85.520071,yellow
231.799707,126.396481,68.536364,orange
163.323295,38.214489,39.361080,red
174.300084,52.580387,52.867635,red
232.677188,223.871618,92.406366,yellow
46.588787,125.176010,182.275619,blue
164.912775,38.007660,45.130961,red
113.546784,197.149123,110.133971,green
208.405139,191.017223,179.189721,white
107.502488,184.507152,106.190920,green
200.834942,210.495753,80.562355,yellow
200.949176,113.708562,76.707189,orange
49.084932,120.762557,153.731963,blue
218.969929,219.384729,72.358196,yellow
171.199768,32.572203,42.162989,red
39.266603,113.726123,157.983238,blue
110.892005,189.122824,91.969697,green
43.866104,121.126559,171.013573,blue
209.766963,196.951613,186.024194,white
189.348668,67.602906,62.049637,red
117.577926,170.503679,79.489409,green
227.452393,120.210757,54.565106,orange
221.707778,114.102963,55.805185,orange
210.626543,212.111111,57.336700,yellow
110.943966,186.548953,89.883621,green
212.002736,203.281592,186.687811,white
49.285011,116.675932,162.764251,blue
62.226452,124.305918,165.961100,blue
230.680108,123.534409,70.877688,orange
210.450316,200.725384,191.648148,white
188.962991,179.357923,167.350472,white
218.920647,211.653313,84.947612,yellow
158.646458,32.727498,38.398392,red
225.894768,105.828042,49.413286,orange
113.723024,182.943724,96.491069,green
230.088943,108.805386,49.970216,orange
221.774294,123.224294,62.553955,orange
208.809453,122.051990,76.528358,orange
200.403175,198.859524,179.880159,white
204.286112,208.727498,102.759666,yellow
66.079412,125.568137,168.510294,blue
195.298686,203.218041,75.618578,yellow
202.719821,194.117139,185.658420,white
158.452223,57.550970,63.830263,red
103.719780,181.686813,98.770261,green
200.203509,209.059701,90.707745,yellow
126.990936,197.132749,112.802924,green
65.343711,122.979577,156.642341,blue
197.043417,213.443744,84.234127,yellow
183.421736,72.330144,65.646844,red
204.757701,116.596062,57.540807,orange
153.387521,48.015599,38.944718,red
122.701449,188.157839,106.845850,green
210.363745,207.120848,81.408163,yellow
217.002086,205.162742,198.353204,white
219.338250,218.769811,94.991081,yellow
190.604592,198.122388,91.156372,yellow
94.445341,139.475192,159.573013,blue
178.179550,79.465020,64.301859,red
214.667243,207.786332,78.421857,yellow
71.042375,121.090148,161.542240,blue
179.247660,56.039211,63.937010,red
65.486962,122.865711,159.876793,blue
117.410849,185.724138,107.885618,green
135.685313,193.913750,126.353750,green
118.138897,183.793741,110.913860,green
192.077061,186.540621,175.342593,white
226.453594,202.325976,190.266553,white
203.860507,194.685544,188.371386,white
173.612982,57.560569,56.402638,red
216.643687,207.582828,100.312626,yellow
205.926316,196.413078,184.896970,white
112.905805,188.554402,103.722799,green
214.571470,206.074202,195.108427,white
223.505541,112.650195,57.020964,orange
115.011874,165.315399,83.550093,green
208.289407,139.960698,89.884195,orange
54.970149,112.530989,157.395902,blue
114.767734,183.609228,99.290019,green
215.381547,197.785889,187.029037,white
118.673440,186.985740,108.066310,green
213.583800,221.077031,103.166433,yellow
128.707729,208.132045,124.993156,green
63.217097,126.482258,169.013226,blue
219.807604,224.612327,89.569412,yellow
194.344807,75.181846,66.930551,red
205.516519,122.452055,81.511684,orange
162.498179,55.372495,53.468731,red
136.525995,199.996021,117.468435,green
230.024066,112.940014,48.193606,orange
214.806841,107.720993,54.409121,orange
185.447727,57.832197,60.188636,red
213.379252,200.899376,184.733844,white
172.713636,50.998485,51.009091,red
77.654003,122.521193,160.086970,blue
162.620130,37.281250,39.665990,red
230.505325,108.062120,45.804513,orange
189.245370,53.333333,54.378472,red
78.401917,106.825996,120.928721,blue
78.907303,111.584799,128.151416,blue
218.598533,119.973944,57.107260,orange
205.885246,191.413711,49.008048,yellow
223.843618,129.341056,57.074850,orange
217.317320,203.395752,62.782026,yellow
231.892960,101.362787,36.946480,orange
214.457771,177.850733,145.351320,white
87.905812,118.774665,133.213711,blue
27.398129,105.655925,142.735447,blue
102.497960,183.761364,98.994172,green
248.236962,224.761734,195.760104,white
36.959596,122.466856,160.754735,blue
53.864187,135.365052,152.501730,blue
242.097751,139.435121,50.167820,orange
208.585440,198.210714,35.295879,yellow
193.993305,29.771455,33.042909,red
139.123047,202.047154,81.770089,green
254.212840,94.250864,25.310123,orange
157.216971,178.156440,77.606412,green
168.837504,199.746621,92.939028,green
251.581699,201.826019,41.636477,yellow
216.696879,24.567707,39.437992,red
81.794691,129.105847,149.677083,blue
246.431973,197.430461,36.621315,yellow
202.041523,20.371499,34.534398,red
81.654666,127.258353,148.021889,blue
169.225339,39.756335,39.894796,red
229.193204,197.284474,170.394097,white
240.630806,212.418033,48.342896,yellow
221.170132,95.852672,24.972725,orange
116.914227,175.791778,71.852115,green
245.859754,206.172610,180.035661,white
206.154412,184.921024,29.611383,yellow
203.844381,188.869803,35.078403,yellow
59.662431,124.235577,155.477335,blue
214.763537,89.021313,32.292339,orange
112.164363,133.188172,146.886713,blue
235.971533,48.451837,60.738828,red
249.968492,106.605026,41.975619,orange
248.960980,122.635511,46.657592,orange
230.224490,28.882818,41.574391,red
247.603715,203.915377,170.522876,white
